,Title,Published_date,Views,Likes,Comments,VIDEO_ID
137,"My PUSH Workout (2022): Chest, Shoulders & Triceps",2022-02-11T08:30:05Z,1320934,66592,1442,NK4_wsNCC2c
138,Leg Day Commentary,2022-02-07T08:31:18Z,271533,14890,576,QYy2Ur3kmY0
139,Big Chest Day,2022-02-02T08:30:01Z,157298,12188,372,7oC58PkPNrY
140,Chest & Shoulders,2022-01-28T08:30:08Z,185210,13641,517,yYhsyAns8zQ
141,Reunited,2022-01-23T08:30:07Z,142185,12852,419,R3nWcijMkr0
142,Cheat Day,2022-01-20T08:30:05Z,160235,13872,728,ELP_IE5ySaQ
143,A Quality Upgrade,2022-01-18T08:30:08Z,107784,10418,383,vLhLqCD7QVY
144,Our New Car,2022-01-16T08:30:04Z,248740,21580,788,DORPAhpPHCk
145,Unboxing Packages,2022-01-14T08:30:03Z,162931,13527,443,cT_jLNVFDgw
146,Lockdown,2022-01-12T08:32:21Z,137881,13452,572,PqONtp4Nz6M
147,Raw Bodybuilding Back Workout,2022-01-09T05:59:38Z,138210,11286,573,jYJBVhUaJBo
148,Raw Bodybuilding Chest Workout,2022-01-07T08:41:45Z,192632,14489,575,OSfdCL2VjCI
149,The Goa Vlog,2022-01-02T10:35:16Z,827298,41723,1200,7qcGbvmgvqI
150,How I Built An Aesthetic CHEST: My Top 3 Exercises,2021-12-31T06:01:40Z,500681,33424,815,--Vpz1mlNb0
151,5 CHEST Training Mistakes I Made as a Beginner,2021-12-26T06:20:33Z,637367,48470,923,yHYkETkrgqE
152,The Graduation Day Vlog,2021-12-22T12:34:47Z,160015,14319,524,hSMbwz3Uqqs
153,Build Muscle & Lose Fat At The Same Time: Body Recomposition Explained (Step By Step),2021-12-13T08:53:51Z,739275,58286,1324,f4szJ_e4zsQ
154,Shredded Shoot Day,2021-12-12T05:17:09Z,129935,10742,373,NzwnsOdKRy8
155,How I Built 3D Shoulders (2017-2021): The Complete Guide,2021-11-30T06:01:19Z,706821,46014,1134,Cdr6BXqOHOg
156,Training With My FIRST Subscriber: Part 2,2021-11-28T12:26:50Z,136744,8862,376,gUJW0bfy58Q
157,Training With My FIRST Subscriber,2021-11-25T06:05:26Z,173941,16335,392,qNEjh-jHj-g
158,Training With ​⁠@NucleyaMusic,2021-11-19T11:00:10Z,179189,15308,386,Qj8dH6vTIFM
159,Bench PR | Road To Nationals Ep.20,2021-11-14T11:37:15Z,142394,10576,509,QsV9Dnu-JWY
160,New Gym Tour | Road To Nationals Ep.19,2021-11-11T06:14:32Z,195389,14647,598,dyCoqarGXO8
161,Nostalgic Pull Day ft. @AryanKhannayt | Diwali Shopping | Road To Nationals Ep.18,2021-11-03T09:03:56Z,144958,9766,428,ZccT-0RjDGk
162,Advertisement Shoot Day | Hotel Room Tour | Road To Nationals Ep.17,2021-10-31T07:30:28Z,180177,12907,323,VCnzB-mVBkM
